Clinic Name,Website,Website_Status,Website_Link,Crawled_URL,Page_Title,Word_Count,Crawl_Status,Saved_Text_File
Upper Manhattan Physical Therapy PC,manhattanptpc.com,LIVE,https://manhattanptpc.com,https://manhattanptpc.com,HOME | Upper Manhattan Physical Therapy PC,665,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Upper_Manhattan_Physical_Therapy_PC.txt
Park North Physical Therapy,parknorthpt.com,LIVE,https://parknorthpt.com,https://parknorthpt.com,"Physical Therapy Clinic Upper Manhattan, NY | Park North Physical Therapy",2228,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Park_North_Physical_Therapy.txt
Sheepshead Bay Chiro & PT,,NO WEBSITE,,,,0,SKIPPED_NO_URL,C:\Users\COB\Downloads\competitor\scraped_texts\Sheepshead_Bay_Chiro_PT.txt
Spear Physical Therapy — UES,spearcenter.com,LIVE,https://spearcenter.com,https://spearcenter.com,Expert Physical Therapy in NYC | Spear,1395,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Spear_Physical_Therapy_UES.txt
Theradynamics — Mott Haven,theradynamics.com,LIVE,https://theradynamics.com,https://theradynamics.com,Get Back To Life! with Theradynamics Physical & Occupational Therapy,372,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Theradynamics_Mott_Haven.txt
JAG Physical Therapy — E 17th St (Sheepshead Bay),jagpt.com,LIVE,https://jagpt.com,https://jagpt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\JAG_Physical_Therapy_E_17th_St_Sheepshead_Bay.txt
Forward Physical Therapy,forwardptny.com,LIVE,https://forwardptny.com,https://forwardptny.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Forward_Physical_Therapy.txt
NY Therapy & Wellness,nytherapyandwellness.com,LIVE,https://nytherapyandwellness.com,https://nytherapyandwellness.com,nytherapyandwellness,244,OK,C:\Users\COB\Downloads\competitor\scraped_texts\NY_Therapy_Wellness.txt
New York Therapy & Wellness,nytherapyandwellness.com,LIVE,https://nytherapyandwellness.com,https://nytherapyandwellness.com,nytherapyandwellness,244,OK,C:\Users\COB\Downloads\competitor\scraped_texts\New_York_Therapy_Wellness.txt
Spear Physical Therapy,spearcenter.com,LIVE,https://spearcenter.com,https://spearcenter.com,Expert Physical Therapy in NYC | Spear,1395,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Spear_Physical_Therapy.txt
Quantum PT — Inwood,quantumchiropt.com,LIVE,https://quantumchiropt.com,https://quantumchiropt.com,New York Physical Therapy and Chiropractor | Quantum Medical,1433,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Quantum_PT_Inwood.txt
Hudson Physical Therapy,hudsonptot.com,LIVE,https://hudsonptot.com,https://hudsonptot.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Hudson_Physical_Therapy.txt
Equilibrium Physical Therapy,equilibriumpt.com,LIVE,https://equilibriumpt.com,https://equilibriumpt.com,Physical Therapy in NYC - Equilibrium Physical Therapy,1227,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Equilibrium_Physical_Therapy.txt
MOTION Sports Medicine,motionptg.com,LIVE,https://motionptg.com,https://motionptg.com,"Physical, Occupational, & Speech Therapy - MOTION",2219,OK,C:\Users\COB\Downloads\competitor\scraped_texts\MOTION_Sports_Medicine.txt
Riverdale Physical Therapy,riverdaleptot.com,LIVE,https://riverdaleptot.com,https://riverdaleptot.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Riverdale_Physical_Therapy.txt
Theradynamics — Riverdale,theradynamics.com,LIVE,https://theradynamics.com,https://theradynamics.com,Get Back To Life! with Theradynamics Physical & Occupational Therapy,372,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Theradynamics_Riverdale.txt
PT of The City — Cobble Hill,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Cobble_Hill.txt
PT of The City — Refuah,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Refuah.txt
Physical Therapy Nest,physicaltherapynest.com,NO WEBSITE,https://physicaltherapynest.com,,,0,SKIPPED_NO_URL,C:\Users\COB\Downloads\competitor\scraped_texts\Physical_Therapy_Nest.txt
PT of The City — Astoria,polarisphysicaltherapy.com,LIVE,https://polarisphysicaltherapy.com,https://polarisphysicaltherapy.com,Polaris-Physical-Therapy,2239,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Astoria.txt
Millennium PT — Astoria,mptsm.com,LIVE,https://mptsm.com,https://mptsm.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Millennium_PT_Astoria.txt
Apollo Physical Therapy,apolloptnyc.com,LIVE,https://apolloptnyc.com,https://apolloptnyc.com,"Apollo Physical Therapy | Expert PT in Harlem, NY",2564,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Apollo_Physical_Therapy.txt
PT of The City — Astoria #2,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Astoria_2.txt
PT of The City — Hells Kitchen,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Hells_Kitchen.txt
One Step Physical Therapy P.C.,onestepphysicaltherapy.com,LIVE,https://onestepphysicaltherapy.com,https://onestepphysicaltherapy.com,One Step Physical Therapy,786,OK,C:\Users\COB\Downloads\competitor\scraped_texts\One_Step_Physical_Therapy_PC.txt
